country,region_orig,adm1_orig,adm2_orig,region_new
Benin,NA,Alibori,Banikoara,
Benin,NA,Alibori,Gogounou,
Benin,NA,Alibori,Kandi,
Benin,NA,Alibori,Karimama,
Benin,NA,Alibori,Malanville,
Benin,NA,Alibori,Segbana,
Benin,NA,Atacora,Boukombe,
Benin,NA,Atacora,Kerou,
Benin,NA,Atacora,Kobli,
Benin,NA,Atacora,Kouande,
Benin,NA,Atacora,Materi,
Benin,NA,Atacora,Natitingou,
Benin,NA,Atacora,Pehunco,
Benin,NA,Atacora,Tanguieta,
Benin,NA,Atacora,Toucountouna,
Benin,NA,Atlantique,Abomey-Calavi,
Benin,NA,Atlantique,Allada,
Benin,NA,Atlantique,Kpomasse,
Benin,NA,Atlantique,Ouidah,
Benin,NA,Atlantique,So-Ava,
Benin,NA,Atlantique,Toffo,
Benin,NA,Atlantique,Tori-Bossito,
Benin,NA,Atlantique,Ze,
Benin,NA,Borgou,Bembereke,
Benin,NA,Borgou,Kalale,
Benin,NA,Borgou,N'dali,
Benin,NA,Borgou,Nikki,
Benin,NA,Borgou,Parakou,
Benin,NA,Borgou,Perere,
Benin,NA,Borgou,Sinende,
Benin,NA,Borgou,Tchaourou,
Benin,NA,Collines,Bante,
Benin,NA,Collines,Dassa-Zoume,
Benin,NA,Collines,Glazoue,
Benin,NA,Collines,Ouesse,
Benin,NA,Collines,Savalou,
Benin,NA,Collines,Save,
Benin,NA,Couffo,Aplahoue,
Benin,NA,Couffo,Djakotomey,
Benin,NA,Couffo,Dogbo,
Benin,NA,Couffo,Klouekanme,
Benin,NA,Couffo,Lalo,
Benin,NA,Couffo,Toviklin,
Benin,NA,Donga,Bassila,
Benin,NA,Donga,Copargo,
Benin,NA,Donga,Djougou,
Benin,NA,Donga,Ouake,
Benin,NA,Littoral,Cotonou,
Benin,NA,Mono,Athieme,
Benin,NA,Mono,Bopa,
Benin,NA,Mono,Come,
Benin,NA,Mono,Grand-Popo,
Benin,NA,Mono,Houeyogbe,
Benin,NA,Mono,Lokossa,
Benin,NA,Oueme,Adjarra,
Benin,NA,Oueme,Adjohoun,
Benin,NA,Oueme,Aguegues,
Benin,NA,Oueme,Akpo-Misserete,
Benin,NA,Oueme,Avrankou,
Benin,NA,Oueme,Bonou,
Benin,NA,Oueme,Dangbo,
Benin,NA,Oueme,Porto-Novo,
Benin,NA,Oueme,Seme-Kpodji,
Benin,NA,Plateau,Adja-Ouere,
Benin,NA,Plateau,Ifangni,
Benin,NA,Plateau,Ketou,
Benin,NA,Plateau,Pobe,
Benin,NA,Plateau,Sakete,
Benin,NA,Zou,Abomey,
Benin,NA,Zou,Agbangnizoun,
Benin,NA,Zou,Bohicon,
Benin,NA,Zou,Cove,
Benin,NA,Zou,Djidja,
Benin,NA,Zou,Ouinhi,
