country_old,country,region_old,region,adm1_old,adm1,adm2_old,adm2
Benin,Benin,NA,NA,Alibori,Alibori,Banikoara,Banikoara
Benin,Benin,NA,NA,Alibori,Alibori,Gogounou,Gogounou
Benin,Benin,NA,NA,Alibori,Alibori,Kandi,Kandi
Benin,Benin,NA,NA,Alibori,Alibori,Karimama,Karimama
Benin,Benin,NA,NA,Alibori,Alibori,Malanville,Malanville
Benin,Benin,NA,NA,Alibori,Alibori,Segbana,Segbana
Benin,Benin,NA,NA,Atacora,Atacora,Boukombe,Boukombe
Benin,Benin,NA,NA,Atacora,Atacora,Kerou,Kerou
Benin,Benin,NA,NA,Atacora,Atacora,Kobli,Kobli
Benin,Benin,NA,NA,Atacora,Atacora,Kouande,Kouande
Benin,Benin,NA,NA,Atacora,Atacora,Materi,Materi
Benin,Benin,NA,NA,Atacora,Atacora,Natitingou,Natitingou
Benin,Benin,NA,NA,Atacora,Atacora,Pehunco,Pehunco
Benin,Benin,NA,NA,Atacora,Atacora,Tanguieta,Tanguieta
Benin,Benin,NA,NA,Atacora,Atacora,Toucountouna,Toucountouna
Benin,Benin,NA,NA,Atlantique,Atlantique,Abomey-Calavi,Abomey-Calavi
Benin,Benin,NA,NA,Atlantique,Atlantique,Allada,Allada
Benin,Benin,NA,NA,Atlantique,Atlantique,Kpomasse,Kpomasse
Benin,Benin,NA,NA,Atlantique,Atlantique,Ouidah,Ouidah
Benin,Benin,NA,NA,Atlantique,Atlantique,So-Ava,So-Ava
Benin,Benin,NA,NA,Atlantique,Atlantique,Toffo,Toffo
Benin,Benin,NA,NA,Atlantique,Atlantique,Tori-Bossito,Tori-Bossito
Benin,Benin,NA,NA,Atlantique,Atlantique,Ze,Ze
Benin,Benin,NA,NA,Borgou,Borgou,Bembereke,Bembereke
Benin,Benin,NA,NA,Borgou,Borgou,Kalale,Kalale
Benin,Benin,NA,NA,Borgou,Borgou,N'dali,N'dali
Benin,Benin,NA,NA,Borgou,Borgou,Nikki,Nikki
Benin,Benin,NA,NA,Borgou,Borgou,Parakou,Parakou
Benin,Benin,NA,NA,Borgou,Borgou,Perere,Perere
Benin,Benin,NA,NA,Borgou,Borgou,Sinende,Sinende
Benin,Benin,NA,NA,Borgou,Borgou,Tchaourou,Tchaourou
Benin,Benin,NA,NA,Collines,Collines,Bante,Bante
Benin,Benin,NA,NA,Collines,Collines,Dassa-Zoume,Dassa-Zoume
Benin,Benin,NA,NA,Collines,Collines,Glazoue,Glazoue
Benin,Benin,NA,NA,Collines,Collines,Ouesse,Ouesse
Benin,Benin,NA,NA,Collines,Collines,Savalou,Savalou
Benin,Benin,NA,NA,Collines,Collines,Save,Save
Benin,Benin,NA,NA,Couffo,Couffo,Aplahoue,Aplahoue
Benin,Benin,NA,NA,Couffo,Couffo,Djakotomey,Djakotomey
Benin,Benin,NA,NA,Couffo,Couffo,Dogbo,Dogbo
Benin,Benin,NA,NA,Couffo,Couffo,Klouekanme,Klouekanme
Benin,Benin,NA,NA,Couffo,Couffo,Lalo,Lalo
Benin,Benin,NA,NA,Couffo,Couffo,Toviklin,Toviklin
Benin,Benin,NA,NA,Donga,Donga,Bassila,Bassila
Benin,Benin,NA,NA,Donga,Donga,Copargo,Copargo
Benin,Benin,NA,NA,Donga,Donga,Djougou,Djougou
Benin,Benin,NA,NA,Donga,Donga,Ouake,Ouake
Benin,Benin,NA,NA,Littoral,Littoral,Cotonou,Cotonou
Benin,Benin,NA,NA,Mono,Mono,Athieme,Athieme
Benin,Benin,NA,NA,Mono,Mono,Bopa,Bopa
Benin,Benin,NA,NA,Mono,Mono,Come,Come
Benin,Benin,NA,NA,Mono,Mono,Grand-Popo,Grand-Popo
Benin,Benin,NA,NA,Mono,Mono,Houeyogbe,Houeyogbe
Benin,Benin,NA,NA,Mono,Mono,Lokossa,Lokossa
