country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Bomi,NA,99352,NA,54643.6,31792.64,12915.76,0,0,12915.76
Liberia,Bong,NA,393873,NA,169365.39,145733.01,78774.6,0,0,78774.6
Liberia,Gbarpolu,NA,98489,NA,53184.06,34471.15,10833.79,0,0,10833.79
Liberia,Grand Bassa,NA,261840,NA,164959.2,89025.6,7855.2,0,0,7855.2
Liberia,Grand Cape Mount,NA,150089,NA,76545.39,51030.26,22513.35,0,0,22513.35
Liberia,Grand Gedeh,NA,147942,NA,75450.42,50300.28,22191.3,0,0,22191.3
Liberia,Grand Kru,NA,68401,NA,34200.5,23256.34,10944.16,0,0,10944.16
Liberia,Lofa,NA,327001,NA,111180.34,147150.45,68670.21,0,0,68670.21
Liberia,Margibi,NA,247939,NA,109093.16,81819.87,57025.97,0,0,57025.97
Liberia,Maryland,NA,160556,NA,86700.24,51377.92,22477.84,0,0,22477.84
Liberia,Montserrado,NA,1320748,NA,633959.04,422639.36,264149.6,0,0,264149.6
Liberia,Nimba,NA,545696,NA,196450.56,240106.24,109139.2,0,0,109139.2
Liberia,River Gee,NA,78884,NA,41019.68,28398.24,9466.08,0,0,9466.08
Liberia,Rivercess,NA,84459,NA,45607.86,29560.65,9290.49,0,0,9290.49
Liberia,Sinoe,NA,120933,NA,65303.82,39907.89,15721.29,0,0,15721.29
